City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,madaba,31.5833,35.6667,15.1,46,0,5.36,JO,1736449269
159,port mathurin,-19.6833,63.4167,26.32,90,100,10.99,MU,1736449278
160,atafu village,-8.5421,-172.5159,28.09,69,100,9.5,TK,1736449279
161,weno,7.4515,151.8468,28.51,76,32,9.44,FM,1736449280
162,kurtamysh,54.9103,64.4319,-3.5,76,100,10.15,RU,1736449282
163,dudinka,69.4058,86.1778,-32.22,100,67,0.75,RU,1736449283
164,calvinia,-31.4707,19.776,17.46,57,0,3.51,ZA,1736449284
165,ghadamis,30.1337,9.5007,12.41,37,0,2.51,LY,1736449287
166,powell river,49.8496,-124.5361,7.15,100,100,1.54,CA,1736449289
167,at taj,24.2049,23.2857,12.02,50,0,4.84,LY,1736449290
168,lhasa,29.65,91.1,-3.14,19,1,1.76,CN,1736449291
169,kerikeri,-35.2268,173.9474,17.73,92,90,1.47,NZ,1736449292
170,la passe,45.5549,-0.8967,8.67,72,100,1.65,FR,1736449293
171,byron bay,-28.65,153.6167,20.45,88,99,1.29,AU,1736449298
172,puerto ayora,-0.7393,-90.3518,26.42,89,99,2.24,EC,1736449299
173,isafjordur,66.0755,-23.124,1.02,60,75,7.2,IS,1736449300
174,new plymouth,-39.0667,174.0833,13.51,100,3,4.79,NZ,1736449302
175,igarka,67.4667,86.5833,-30.52,100,60,2.51,RU,1736449303
176,tazovsky,67.4667,78.7,-24.66,100,97,3.9,RU,1736449304
177,mandiana,10.6333,-8.6833,28.87,16,100,2.2,GN,1736449997
178,yuzhno-kurilsk,44.0306,145.8556,-1.59,72,100,3.9,RU,1736449998
179,egilsstadir,65.2653,-14.3948,-16.05,78,0,1.03,IS,1736450000
180,pokrovsk,48.282,37.1758,5.35,90,93,3.3,UA,1736450001
181,ta`u,-14.2336,-169.5144,28.06,78,94,10.83,AS,1736450002
182,iskateley,67.6803,53.1512,-7.12,95,100,5.12,RU,1736450003
183,ulsteinvik,62.3432,5.8487,-0.69,77,64,0.45,NO,1736450004
184,vadso,70.0744,29.7487,-6.91,86,20,6.69,NO,1736450005
185,at-bashi,41.1702,75.8106,-17.56,56,0,1.68,KG,1736450007
186,gaiman,-43.2897,-65.4929,19.11,34,100,8.44,AR,1736450008
187,curitibanos,-27.2828,-50.5844,25.24,47,41,2.34,BR,1736450009
188,tolanaro,-25.0319,46.9987,26.03,93,100,5.19,MG,1736450010
189,yorkton,51.2167,-102.4677,-3.09,80,100,10.29,CA,1736450011
190,cromwell,41.5951,-72.6454,0.58,54,0,8.23,US,1736450013
191,broken hill,-31.95,141.4333,23.51,34,6,4.77,AU,1736450014
192,nova sintra,14.8667,-24.7167,23.84,73,0,8.47,CV,1736450015
193,dunedin,-45.8742,170.5036,11.94,82,100,1.63,NZ,1736450016
194,shiyan,32.6475,110.7781,-0.75,46,100,0.48,CN,1736450017
195,canutama,-6.5339,-64.3831,29.59,74,86,1.7,BR,1736450018
196,kharovsk,59.9642,40.1912,-2.52,96,100,4.17,RU,1736450019
197,christchurch,-43.5333,172.6333,14.95,78,20,4.12,NZ,1736449732
198,touros,-5.1989,-35.4608,28.51,71,64,5.39,BR,1736450022
199,jamaame,0.0697,42.745,24.6,83,89,4.68,SO,1736450023
200,jiwani,25.05,61.7417,20.37,44,0,0.8,PK,1736450025
201,zagorz,49.5146,22.2671,8.96,82,100,6.63,PL,1736450027
202,ustyuzhna,58.8394,36.4321,-2.64,92,100,4.2,RU,1736450029
203,ancud,-41.8697,-73.8203,16.07,52,0,4.52,CL,1736450030
204,mangrol,21.1167,70.1167,21.19,58,11,1.32,IN,1736450033
205,qaqortoq,60.7167,-46.0333,-10.87,71,14,2.91,GL,1736450034
206,aasiaat,68.7098,-52.8699,-15.49,89,93,4.38,GL,1736450035
207,fada,7.25,4.0667,26.61,36,98,2.07,NG,1736450036
208,magadan,59.5667,150.8,-18.9,84,2,3.37,RU,1736450037
209,kamaishi,39.2667,141.8833,-3.28,69,0,3.52,JP,1736450038
210,onega,63.9061,38.1404,-11.98,89,88,4.36,RU,1736450040
211,walvis bay,-22.9575,14.5053,18.62,79,100,4.76,NA,1736450041
212,ola,59.5833,151.2833,-19.99,83,0,3.87,RU,1736450042
213,constantia,44.1833,28.65,8.38,92,0,4.1,RO,1736450043
214,pisco,-13.7,-76.2167,25.03,61,0,7.72,PE,1736450044
215,susuman,62.7833,148.1667,-30.53,99,100,0.55,RU,1736450046
216,praia da vitoria,38.7333,-27.0667,18.14,88,40,10.94,PT,1736450047
217,cherokee,34.2668,-84.4499,5.08,39,0,3.6,US,1736450048
218,okhotsk,59.3833,143.3,-20.87,79,2,5.11,RU,1736450049
219,camana,-16.6228,-72.7111,23.06,72,75,3.68,PE,1736450050
220,papatowai,-46.5619,169.4708,11.5,81,100,1.43,NZ,1736450051
221,necochea,-38.5473,-58.7368,30.05,33,64,8.75,AR,1736450052
222,nema,57.5067,50.5011,-1.5,87,100,4.07,RU,1736450054
223,levuka,50.1834,-105.4011,-3.15,74,20,11.83,CA,1736450055
224,itoman,26.1247,127.6694,14.21,62,100,12.86,JP,1736450056
225,bilibino,68.0546,166.4372,-29.31,98,100,0.95,RU,1736450057
226,keflavik,64.0049,-22.5624,0.24,74,100,4.12,IS,1736450058
227,kodinsk,58.6881,99.1844,-18.8,100,69,1.73,RU,1736450059
228,tucumcari,35.1717,-103.725,0.91,80,100,11.32,US,1736450061
229,chonchi,-42.6128,-73.8092,18.45,39,6,1.14,CL,1736450063
230,buta,2.7858,24.73,25.07,35,100,0.72,CD,1736450064
231,luanco,43.6152,-5.7934,14.05,93,96,1.42,ES,1736450065
232,geraldton,-28.7667,114.6,18.23,88,65,3.6,AU,1736449807
233,buncrana,55.1333,-7.45,-1.13,80,90,2.04,IE,1736450068
234,nova xavantina,-14.6667,-52.35,23.24,96,95,2.9,BR,1736450069
235,zinjibar,13.1287,45.3807,24.32,72,0,3.78,YE,1736450070
236,narrabri,-30.3167,149.7833,20.68,69,100,1.56,AU,1736450071
237,illizi,26.4833,8.4667,13.17,23,4,2.71,DZ,1736450072
238,kenai,60.5544,-151.2583,1.12,99,100,9.26,US,1736450074
239,yarmouth,41.7057,-70.2286,-2.21,69,75,14.31,US,1736450075
240,kilindoni,-7.9139,39.6668,27.53,73,13,4.51,TZ,1736450076
241,vila franca do campo,37.7167,-25.4333,18.23,95,100,6.98,PT,1736450077
242,guerrero negro,27.9769,-114.0611,18.52,33,0,5.66,MX,1736450078
243,howrah,22.5892,88.3103,15.0,77,4,2.57,IN,1736450079
